country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,exceedance_range,avg_to_max_ratio,hour,date,is_anomaly
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2025-02-14 17:00:00,26.0881305,87.93840336,CO,66.0,90.0,80.0,24.0,0.8888888888888888,17,2025-02-14,True
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",2025-02-14 17:00:00,28.5512005,77.2735737,CO,82.0,106.0,102.0,24.0,0.9622641509433962,17,2025-02-14,True
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2025-02-14 17:00:00,28.530785,77.271255,OZONE,13.0,184.0,162.0,171.0,0.8804347826086957,17,2025-02-14,True
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2025-02-14 17:00:00,30.943887,76.801991,SO2,9.0,98.0,49.0,89.0,0.5,17,2025-02-14,True
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2025-02-14 17:00:00,22.977134,72.553024,PM2.5,87.0,380.0,229.0,293.0,0.6026315789473684,17,2025-02-14,True
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",2025-02-14 17:00:00,19.2058,72.8682,SO2,10.0,64.0,44.0,54.0,0.6875,17,2025-02-14,True
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",2025-02-14 17:00:00,19.0632143,72.8456324,NH3,3.0,60.0,30.0,57.0,0.5,17,2025-02-14,True
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",2025-02-14 17:00:00,19.175,72.9419,SO2,67.0,68.0,68.0,1.0,1.0,17,2025-02-14,True
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",2025-02-14 17:00:00,18.536457,73.805454,CO,50.0,153.0,153.0,103.0,1.0,17,2025-02-14,True
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB",2025-02-14 17:00:00,20.48891,85.84768,OZONE,16.0,256.0,256.0,240.0,1.0,17,2025-02-14,True
India,Nagaland,Kohima,"PWD Juction, Kohima - NPCB",2025-02-14 17:00:00,25.6635413,94.0989878,SO2,55.0,56.0,56.0,1.0,1.0,17,2025-02-14,True
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",2025-02-14 17:00:00,21.51161,86.89088,OZONE,36.0,175.0,175.0,139.0,1.0,17,2025-02-14,True
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",2025-02-14 17:00:00,28.296139,74.961696,OZONE,7.0,163.0,163.0,156.0,1.0,17,2025-02-14,True
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",2025-02-14 17:00:00,27.169338,78.03582,SO2,44.0,63.0,53.0,19.0,0.8412698412698413,17,2025-02-14,True
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",2025-02-14 17:00:00,28.5447608,77.3231257,NH3,11.0,38.0,24.0,27.0,0.631578947368421,17,2025-02-14,True
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2025-02-14 17:00:00,22.5687319,88.2797276,PM2.5,63.0,368.0,207.0,305.0,0.5625,17,2025-02-14,True
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2025-02-14 17:00:00,25.42742023,86.13886079,CO,38.0,107.0,83.0,69.0,0.7757009345794392,17,2025-02-14,True
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2025-02-14 17:00:00,25.596727,85.085624,CO,25.0,101.0,79.0,76.0,0.7821782178217822,17,2025-02-14,True
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2025-02-14 17:00:00,25.592539,85.227158,PM10,124.0,370.0,228.0,246.0,0.6162162162162163,17,2025-02-14,True
India,Delhi,Delhi,"DTU, Delhi - CPCB",2025-02-14 17:00:00,28.7500499,77.1112615,SO2,54.0,58.0,56.0,4.0,0.9655172413793104,17,2025-02-14,True
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2025-02-14 17:00:00,28.530785,77.271255,CO,63.0,105.0,81.0,42.0,0.7714285714285715,17,2025-02-14,True
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",2025-02-14 17:00:00,21.613267,73.010555,SO2,51.0,52.0,51.0,1.0,0.9807692307692307,17,2025-02-14,True
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",2025-02-14 17:00:00,20.362421,72.918013,SO2,42.0,47.0,44.0,5.0,0.9361702127659575,17,2025-02-14,True
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",2025-02-14 17:00:00,23.50016,80.23284,SO2,20.0,136.0,60.0,116.0,0.4411764705882353,17,2025-02-14,True
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",2025-02-14 17:00:00,23.10844,77.511428,SO2,7.0,121.0,52.0,114.0,0.4297520661157025,17,2025-02-14,True
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",2025-02-14 17:00:00,19.065931,72.862131,NH3,9.0,77.0,36.0,68.0,0.4675324675324675,17,2025-02-14,True
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",2025-02-14 17:00:00,18.614767,73.799516,CO,60.0,127.0,97.0,67.0,0.7637795275590551,17,2025-02-14,True
India,Maharashtra,Solapur,"Solapur, Solapur - MPCB",2025-02-14 17:00:00,17.6599188,75.9063906,SO2,11.0,123.0,51.0,112.0,0.4146341463414634,17,2025-02-14,True
India,Odisha,Angul,"Hakimapada, Angul - OSPCB",2025-02-14 17:00:00,20.832874,85.104082,CO,64.0,104.0,86.0,40.0,0.8269230769230769,17,2025-02-14,True
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",2025-02-14 17:00:00,28.194909,76.862296,CO,48.0,107.0,93.0,59.0,0.8691588785046729,17,2025-02-14,True
India,Odisha,Rourkela,"Fertilizer Township, Rourkela - OSPCB",2025-02-14 17:00:00,22.18972222,84.86277778,PM2.5,107.0,408.0,292.0,301.0,0.7156862745098039,17,2025-02-14,True
India,Odisha,Rourkela,"Fertilizer Township, Rourkela - OSPCB",2025-02-14 17:00:00,22.18972222,84.86277778,PM10,117.0,410.0,272.0,293.0,0.6634146341463415,17,2025-02-14,True
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",2025-02-14 17:00:00,20.9360711,85.1707021,PM2.5,46.0,362.0,223.0,316.0,0.6160220994475138,17,2025-02-14,True
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",2025-02-14 17:00:00,25.771061,73.340227,PM2.5,97.0,351.0,190.0,254.0,0.5413105413105413,17,2025-02-14,True
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",2025-02-14 17:00:00,26.9164092,75.7994901,NO2,130.0,191.0,152.0,61.0,0.7958115183246073,17,2025-02-14,True
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",2025-02-14 17:00:00,28.5447608,77.3231257,NO2,67.0,275.0,141.0,208.0,0.5127272727272727,17,2025-02-14,True
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",2025-02-14 17:00:00,22.7605581,88.3617589,CO,103.0,129.0,105.0,26.0,0.813953488372093,17,2025-02-14,True
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2025-02-14 17:00:00,28.56789,77.250515,OZONE,16.0,176.0,176.0,160.0,1.0,17,2025-02-14,True
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2025-02-14 17:00:00,28.60909,77.0325413,CO,40.0,108.0,102.0,68.0,0.9444444444444444,17,2025-02-14,True
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2025-02-14 17:00:00,28.73282,77.170633,CO,34.0,108.0,90.0,74.0,0.8333333333333334,17,2025-02-14,True
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",2025-02-14 17:00:00,28.4227,77.0667,NH3,88.0,99.0,90.0,11.0,0.9090909090909091,17,2025-02-14,True
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2025-02-14 17:00:00,23.107969,72.574648,OZONE,6.0,176.0,176.0,170.0,1.0,17,2025-02-14,True
