city,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,cluster
Alwar,43.0,13.0,50.0,48.0,72.0,44.0,22.0,0
Ajmer,46.0,9.0,92.0,18.0,100.0,62.0,9.0,0
Begusarai,83.0,15.0,64.0,20.0,114.0,94.0,17.0,0
Banswara,24.0,6.0,40.0,176.0,133.0,79.0,7.0,0
Barmer,30.0,7.0,48.0,56.0,154.0,72.0,7.0,0
Bhopal,31.666666666666668,9.666666666666666,42.666666666666664,71.33333333333333,95.33333333333333,45.333333333333336,17.0,0
Bhiwadi,56.5,9.0,47.0,64.5,113.5,85.5,11.0,0
Bhilwara,18.0,8.0,40.0,62.0,105.0,122.0,27.0,0
Bulandshahr,26.0,12.0,65.0,27.0,128.0,46.0,19.0,0
Bundi,26.0,14.0,42.0,84.0,106.0,58.0,10.0,0
Chandigarh,32.333333333333336,13.0,30.0,69.0,81.0,68.5,16.0,0
Bikaner,38.0,9.0,58.0,76.0,152.0,58.0,7.0,0
Bhiwandi,22.0,4.0,55.0,57.0,128.0,144.0,18.0,0
Dausa,35.0,9.0,69.0,68.0,138.0,45.0,10.0,0
Jhalawar,42.0,6.0,37.0,64.0,96.0,86.0,8.0,0
Jalore,33.0,9.0,63.0,65.0,182.0,127.0,6.0,0
Haldia,28.0,10.0,32.0,42.0,157.0,121.0,16.0,0
Hanumangarh,42.0,13.0,37.0,71.0,135.0,101.0,14.0,0
Jaipur,44.0,13.166666666666666,89.83333333333333,60.333333333333336,131.16666666666666,107.33333333333333,21.833333333333332,0
Jaisalmer,26.0,12.0,49.0,74.0,115.0,58.0,4.0,0
Jhunjhunu,64.0,9.0,55.0,91.0,115.0,79.0,6.0,0
Jodhpur,34.0,9.0,46.2,65.0,166.6,121.4,7.6,0
Greater Noida,29.5,8.5,61.5,53.5,88.5,40.0,8.5,0
Ghaziabad,36.75,7.0,64.25,39.75,80.0,60.75,11.0,0
Gandhinagar,39.666666666666664,16.333333333333332,49.0,28.0,108.0,119.66666666666667,4.666666666666667,0
Gurugram,24.0,52.0,9.5,48.666666666666664,145.66666666666666,165.0,2.0,0
Dhanbad,2.0,0.0,120.0,27.0,118.0,42.0,27.0,0
Delhi,49.44736842105263,8.366666666666667,53.62162162162162,64.28947368421052,122.72222222222223,92.32432432432432,19.419354838709676,0
Dewas,19.0,5.0,85.0,48.0,82.0,43.0,34.0,0
Chittorgarh,31.0,15.0,33.0,68.0,134.0,92.0,13.0,0
Churu,28.0,7.0,50.0,163.0,134.0,60.0,5.0,0
Katni,44.0,4.0,62.0,71.0,128.0,53.0,60.0,0
Rajsamand,19.0,18.0,33.0,95.0,100.0,124.0,10.0,0
Sikar,37.0,8.0,44.0,61.0,130.0,83.0,6.0,0
Sri Ganganagar,37.0,30.0,74.0,28.0,230.0,144.0,9.0,0
Solapur,19.5,9.0,57.5,90.0,109.5,80.5,51.0,0
Pimpri-Chinchwad,58.25,11.0,89.66666666666667,39.75,123.5,122.0,11.333333333333334,0
Noida,50.25,13.0,81.5,55.75,85.0,46.5,20.666666666666668,0
Navi Mumbai,25.4,6.8,61.0,40.2,126.0,95.0,19.4,0
Panchgaon,42.0,6.0,54.0,54.0,108.0,105.0,17.0,0
Nagaur,32.0,10.0,39.0,86.0,187.0,100.0,6.0,0
Mumbai,26.125,8.869565217391305,49.43478260869565,33.875,120.56,92.08,22.142857142857142,0
Lucknow,43.2,11.25,41.8,40.2,108.8,82.0,15.6,0
Kota,49.333333333333336,9.333333333333334,68.33333333333333,52.0,116.33333333333333,105.66666666666667,13.0,0
Sirohi,30.0,5.0,51.0,47.0,98.0,62.0,6.0,0
Siliguri,38.0,15.0,34.0,17.0,142.0,157.0,15.0,0
Singrauli,42.0,3.0,66.0,83.0,83.0,43.0,27.0,0
Udaipur,53.0,11.0,52.0,43.0,129.0,147.0,9.0,0
Kolhapur,25.0,12.0,24.5,102.0,96.0,104.5,5.0,0
