city,mean_avg,max_avg,n_readings
Mandi Gobindgarh,99.75,169.0,4
Cuttack,99.14285714285714,256.0,7
Byrnihat,92.85714285714286,284.0,7
Rourkela,91.6923076923077,292.0,13
Talcher,89.42857142857143,223.0,7
Mandideep,84.14285714285714,204.0,7
Byasanagar,81.42857142857143,182.0,7
Ahmednagar,81.28571428571429,174.0,7
Bhubaneswar,80.85714285714286,229.0,14
Pune,79.16071428571429,225.0,56
Sri Ganganagar,78.85714285714286,230.0,7
Gurugram,78.1875,333.0,16
Siwan,75.0,86.0,2
Pali,74.42857142857143,190.0,7
Balasore,74.0,175.0,7
Belapur,72.83333333333333,144.0,6
Howrah,72.29411764705883,207.0,34
Ahmedabad,72.03508771929825,229.0,57
Hajipur,71.85714285714286,176.0,7
Durgapur,69.9047619047619,211.0,21
Ankleshwar,69.28571428571429,135.0,7
Jalore,69.28571428571429,182.0,7
Vatva,69.0,183.0,7
Barrackpore,68.42857142857143,142.0,7
Pimpri-Chinchwad,68.4,161.0,25
Sangli,67.42857142857143,136.0,7
Jaipur,66.80952380952381,157.0,42
Banswara,66.42857142857143,176.0,7
Jodhpur,65.88235294117646,227.0,34
Nagaur,65.71428571428571,187.0,7
Solapur,64.5,119.0,12
Kolkata,63.93617021276596,190.0,47
Churu,63.857142857142854,163.0,7
Udaipur,63.42857142857143,147.0,7
Asansol,63.0,178.0,28
Bhiwandi,61.142857142857146,144.0,7
Delhi,60.70040485829959,191.0,247
Katni,60.285714285714285,128.0,7
Dungarpur,60.285714285714285,159.0,7
Pithampur,60.0,121.0,7
Jhunjhunu,59.857142857142854,115.0,7
Siliguri,59.714285714285715,157.0,7
Kota,59.142857142857146,146.0,21
Hanumangarh,59.0,135.0,7
Begusarai,58.142857142857146,114.0,7
Haldia,58.0,157.0,7
Rajsamand,57.0,124.0,7
Bikaner,56.857142857142854,152.0,7
Nayagarh,56.0,121.0,5
Dhanbad,56.0,120.0,6
Kolhapur,55.84615384615385,161.0,13
Patna,55.5,228.0,40
Bhiwadi,55.285714285714285,128.0,14
Panchgaon,55.142857142857146,108.0,7
Chittorgarh,55.142857142857146,134.0,7
Ujjain,55.0,110.0,7
Bhilwara,54.57142857142857,122.0,7
Rupnagar,54.333333333333336,89.0,3
Angul,53.857142857142854,99.0,7
Gummidipoondi,53.8,100.0,5
Surat,53.6,68.0,5
Muzaffarnagar,53.57142857142857,116.0,7
Barmer,53.42857142857143,154.0,7
Dausa,53.42857142857143,138.0,7
Navi Mumbai,53.4,138.0,35
Sri Vijaya Puram,53.0,75.0,2
Noida,52.96153846153846,141.0,26
Yadgir,52.8,98.0,5
Sikar,52.714285714285715,130.0,7
Gandhinagar,52.19047619047619,181.0,21
Tumakuru,52.0,159.0,7
Mumbai,51.89090909090909,191.0,165
Karauli,51.666666666666664,98.0,6
Lucknow,50.088235294117645,139.0,34
Baddi,50.0,94.0,7
Singrauli,49.57142857142857,83.0,7
Gangtok,49.5,148.0,6
Mahad,48.714285714285715,108.0,7
Bundi,48.57142857142857,106.0,7
Jhalawar,48.42857142857143,96.0,7
Muzaffarpur,48.35294117647059,301.0,17
Manguraha,48.333333333333336,124.0,6
Jaisalmer,48.285714285714285,115.0,7
Baripada,48.285714285714285,98.0,7
Suakati,48.142857142857146,128.0,7
Bileipada,48.142857142857146,129.0,7
Ajmer,48.0,100.0,7
Nashik,47.607142857142854,127.0,28
Kishanganj,47.57142857142857,113.0,7
Pratapgarh,47.285714285714285,115.0,7
Baghpat,46.714285714285715,125.0,7
Agartala,46.42857142857143,172.0,7
Bulandshahr,46.142857142857146,128.0,7
Bettiah,46.0,121.0,7
Udupi,45.6,90.0,5
Badlapur,45.57142857142857,96.0,7
Guwahati,45.3,158.0,20
Kadapa,45.285714285714285,105.0,7
Dewas,45.142857142857146,85.0,7
Boisar,45.142857142857146,94.0,7
Chandigarh,45.0625,102.0,16
Malegaon,45.0,85.0,5
Nagpur,44.714285714285715,115.0,28
Bhopal,44.714285714285715,111.0,21
Gwalior,44.7,138.0,20
Thane,44.07142857142857,102.0,14
Indore,44.07142857142857,146.0,28
Ghaziabad,43.96296296296296,88.0,27
Mira-Bhayandar,43.857142857142854,120.0,7
Jalgaon,43.714285714285715,123.0,7
Brajrajnagar,43.42857142857143,85.0,7
Dindigul,43.333333333333336,120.0,6
Ulhasnagar,43.285714285714285,111.0,7
Faridabad,43.04761904761905,119.0,21
Sirohi,42.714285714285715,98.0,7
Bengaluru,42.177215189873415,169.0,79
Baran,42.142857142857146,82.0,7
Aurangabad,42.074074074074076,118.0,27
Tonk,42.0,62.0,2
Hyderabad,41.858695652173914,145.0,92
Alwar,41.714285714285715,72.0,7
Greater Noida,41.42857142857143,98.0,14
Visakhapatnam,41.142857142857146,112.0,7
Kunjemura,41.142857142857146,130.0,7
Buxar,40.857142857142854,92.0,7
Virar,40.857142857142854,88.0,7
Nalbari,40.285714285714285,105.0,7
Davanagere,40.142857142857146,102.0,7
Jalandhar,40.142857142857146,98.0,7
Kashipur,39.57142857142857,87.0,7
Dhule,39.5,64.0,2
Ramanagara,39.142857142857146,77.0,7
Tensa,38.42857142857143,99.0,7
Chandrapur,38.25,146.0,12
Dehradun,38.166666666666664,79.0,6
Latur,38.142857142857146,76.0,7
Rairangpur,38.142857142857146,97.0,7
Ludhiana,38.0,91.0,7
Coimbatore,37.666666666666664,102.0,12
Akola,37.57142857142857,79.0,7
Patiala,37.285714285714285,80.0,7
Sagar,37.25,97.0,12
Nanded,37.142857142857146,93.0,7
Bharatpur,37.142857142857146,89.0,7
Meerut,36.80952380952381,121.0,21
Chikkaballapur,36.714285714285715,89.0,7
Amritsar,36.714285714285715,79.0,7
Barbil,36.57142857142857,113.0,7
Tirupur,36.333333333333336,59.0,3
Charkhi Dadri,36.142857142857146,102.0,7
Khurja,36.0,113.0,7
Chhapra,35.833333333333336,66.0,6
Keonjhar,35.714285714285715,110.0,7
Munger,35.42857142857143,92.0,7
Rajgir,35.166666666666664,99.0,6
Dharwad,35.142857142857146,71.0,7
Karur,35.0,69.0,6
Chikkamagaluru,35.0,42.0,2
Amravati,34.785714285714285,99.0,14
Anantapur,34.714285714285715,75.0,7
Motihari,34.666666666666664,85.0,6
Ooty,34.5,72.0,6
Hassan,34.285714285714285,108.0,7
Kanpur,34.15,109.0,20
Rishikesh,34.142857142857146,80.0,7
Jabalpur,34.107142857142854,89.0,28
Gorakhpur,33.857142857142854,120.0,7
Vapi,33.8,99.0,5
Tirumala,33.285714285714285,79.0,7
Ranipet,33.166666666666664,86.0,6
Chhal,33.142857142857146,77.0,7
Kohima,32.714285714285715,73.0,7
Imphal,32.714285714285715,104.0,7
Kalyan,32.54545454545455,94.0,11
Tumidih,32.42857142857143,86.0,7
Chittoor,32.285714285714285,82.0,7
Raipur,31.51851851851852,108.0,27
Mysuru,31.142857142857142,58.0,7
Bihar Sharif,31.0,31.0,1
Purnia,31.0,61.0,7
Rajamahendravaram,30.857142857142858,77.0,7
Mangalore,30.857142857142858,70.0,7
Dholpur,30.857142857142858,69.0,7
Khanna,30.714285714285715,72.0,7
Vijayawada,30.666666666666668,66.0,21
Thiruvananthapuram,30.625,72.0,8
Sasaram,30.5,53.0,2
Arrah,30.428571428571427,77.0,7
Korba,30.142857142857142,68.0,14
Gaya,30.0,75.0,18
Bathinda,30.0,47.0,5
Satna,30.0,62.0,5
Saharsa,29.857142857142858,75.0,7
Virudhunagar,29.666666666666668,68.0,6
Chengalpattu,29.571428571428573,74.0,7
Moradabad,29.476190476190474,87.0,42
Kannur,29.142857142857142,53.0,7
Gadag,29.142857142857142,59.0,7
Salem,28.857142857142858,70.0,7
Parbhani,28.714285714285715,60.0,7
Araria,28.666666666666668,76.0,6
Kalaburagi,28.583333333333332,81.0,12
Hapur,28.285714285714285,63.0,7
Bilaspur,28.2,49.0,5
Shivamogga,28.142857142857142,59.0,7
Chennai,27.884615384615383,114.0,52
Jalna,27.428571428571427,78.0,7
Chamarajanagar,27.285714285714285,50.0,7
Thrissur,27.166666666666668,55.0,6
Puducherry,27.0,49.0,7
Amaravati,26.857142857142858,54.0,7
Madurai,26.428571428571427,72.0,7
Nagaon,26.285714285714285,65.0,7
Bhagalpur,26.285714285714285,66.0,14
Bhilai,25.857142857142858,68.0,21
Ariyalur,25.833333333333332,49.0,6
Perundurai,25.142857142857142,57.0,7
Silchar,25.0,72.0,7
Vrindavan,24.571428571428573,72.0,7
Kollam,24.5,34.0,2
Hubballi,24.22222222222222,54.0,9
Firozabad,23.928571428571427,59.0,14
Katihar,23.857142857142858,54.0,7
Agra,23.475,82.0,40
Naharlagun,23.166666666666668,62.0,6
Vijayapura,22.166666666666668,47.0,6
Maihar,21.6,40.0,5
Sivasagar,20.428571428571427,40.0,7
Damoh,20.0,22.0,2
Pudukottai,19.8,38.0,5
Tirunelveli,19.571428571428573,41.0,7
Aizawl,19.5,70.0,6
Haveri,19.5,23.0,2
Thanjavur,19.428571428571427,41.0,7
Madikeri,18.714285714285715,51.0,7
Prayagraj,18.714285714285715,54.0,21
Kolar,18.714285714285715,49.0,7
Thoothukudi,18.6,33.0,5
Kanchipuram,18.142857142857142,45.0,7
Ratlam,16.5,17.0,2
Bareilly,16.333333333333332,36.0,9
Jhansi,16.0,30.0,7
Srinagar,15.166666666666666,41.0,6
Varanasi,15.076923076923077,55.0,26
Palkalaiperur,14.333333333333334,30.0,6
Milupara,13.0,14.0,2
Samastipur,12.857142857142858,32.0,7
Nagapattinam,12.142857142857142,27.0,7
Cuddalore,12.0,22.0,2
Vellore,11.666666666666666,21.0,3
Ramanathapuram,10.857142857142858,23.0,7
Karwar,9.0,9.0,1
Shillong,7.0,7.0,3
